"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.example.AsyncProcessorBenchmark.testRealTime","avgt",1,25,1000.351204,0.042356,"ms/op"
"org.example.AsyncProcessorBenchmark.testRealTime:gc.alloc.rate","avgt",1,25,455.151534,4.501557,"MB/sec"
"org.example.AsyncProcessorBenchmark.testRealTime:gc.alloc.rate.norm","avgt",1,25,477517033.920000,4727031.441645,"B/op"
"org.example.AsyncProcessorBenchmark.testRealTime:gc.count","avgt",1,25,80.000000,NaN,"counts"
"org.example.AsyncProcessorBenchmark.testRealTime:gc.time","avgt",1,25,58.000000,NaN,"ms"
"org.example.AsyncProcessorBenchmark.testVirtualTimeInjection","avgt",1,25,0.001120,0.000010,"ms/op"
"org.example.AsyncProcessorBenchmark.testVirtualTimeInjection:gc.alloc.rate","avgt",1,25,2453.020447,21.640552,"MB/sec"
"org.example.AsyncProcessorBenchmark.testVirtualTimeInjection:gc.alloc.rate.norm","avgt",1,25,2880.007793,0.000160,"B/op"
"org.example.AsyncProcessorBenchmark.testVirtualTimeInjection:gc.count","avgt",1,25,239.000000,NaN,"counts"
"org.example.AsyncProcessorBenchmark.testVirtualTimeInjection:gc.time","avgt",1,25,164.000000,NaN,"ms"
"org.example.ExpiringCacheBenchmark.testClockInjection","avgt",1,25,0.000015,0.000000,"ms/op"
"org.example.ExpiringCacheBenchmark.testClockInjection:gc.alloc.rate","avgt",1,25,5261.287440,74.883222,"MB/sec"
"org.example.ExpiringCacheBenchmark.testClockInjection:gc.alloc.rate.norm","avgt",1,25,80.000129,0.000002,"B/op"
"org.example.ExpiringCacheBenchmark.testClockInjection:gc.count","avgt",1,25,407.000000,NaN,"counts"
"org.example.ExpiringCacheBenchmark.testClockInjection:gc.time","avgt",1,25,255.000000,NaN,"ms"
"org.example.ExpiringCacheBenchmark.testMockito","avgt",1,25,0.043043,0.000821,"ms/op"
"org.example.ExpiringCacheBenchmark.testMockito:gc.alloc.rate","avgt",1,25,1046.089196,19.597518,"MB/sec"
"org.example.ExpiringCacheBenchmark.testMockito:gc.alloc.rate.norm","avgt",1,25,47200.709879,0.028321,"B/op"
"org.example.ExpiringCacheBenchmark.testMockito:gc.count","avgt",1,25,125.000000,NaN,"counts"
"org.example.ExpiringCacheBenchmark.testMockito:gc.time","avgt",1,25,102.000000,NaN,"ms"
"org.example.ExpiringCacheBenchmark.testRealTime","avgt",1,25,100.237833,0.065626,"ms/op"
"org.example.ExpiringCacheBenchmark.testRealTime:gc.alloc.rate","avgt",1,25,0.009593,0.000012,"MB/sec"
"org.example.ExpiringCacheBenchmark.testRealTime:gc.alloc.rate.norm","avgt",1,25,1009.056000,0.663715,"B/op"
"org.example.ExpiringCacheBenchmark.testRealTime:gc.count","avgt",1,25,0.000000,NaN,"counts"
"org.example.RetryServiceBenchmark.testRealTime","avgt",1,25,500.220081,0.052529,"ms/op"
"org.example.RetryServiceBenchmark.testRealTime:gc.alloc.rate","avgt",1,25,0.009295,0.000332,"MB/sec"
"org.example.RetryServiceBenchmark.testRealTime:gc.alloc.rate.norm","avgt",1,25,4877.546667,174.123800,"B/op"
"org.example.RetryServiceBenchmark.testRealTime:gc.count","avgt",1,25,0.000000,NaN,"counts"
"org.example.RetryServiceBenchmark.testSleeperInjection","avgt",1,25,0.001482,0.000035,"ms/op"
"org.example.RetryServiceBenchmark.testSleeperInjection:gc.alloc.rate","avgt",1,25,937.607956,22.596962,"MB/sec"
"org.example.RetryServiceBenchmark.testSleeperInjection:gc.alloc.rate.norm","avgt",1,25,1456.010366,0.000272,"B/op"
"org.example.RetryServiceBenchmark.testSleeperInjection:gc.count","avgt",1,25,133.000000,NaN,"counts"
"org.example.RetryServiceBenchmark.testSleeperInjection:gc.time","avgt",1,25,91.000000,NaN,"ms"
"org.example.TokenValidatorBenchmark.testClockInjection","avgt",1,25,0.000001,0.000000,"ms/op"
"org.example.TokenValidatorBenchmark.testClockInjection:gc.alloc.rate","avgt",1,25,0.008293,0.000041,"MB/sec"
"org.example.TokenValidatorBenchmark.testClockInjection:gc.alloc.rate.norm","avgt",1,25,0.000010,0.000000,"B/op"
"org.example.TokenValidatorBenchmark.testClockInjection:gc.count","avgt",1,25,0.000000,NaN,"counts"
"org.example.TokenValidatorBenchmark.testMockito","avgt",1,25,0.014858,0.000227,"ms/op"
"org.example.TokenValidatorBenchmark.testMockito:gc.alloc.rate","avgt",1,25,968.555132,14.864950,"MB/sec"
"org.example.TokenValidatorBenchmark.testMockito:gc.alloc.rate.norm","avgt",1,25,15088.397049,0.855439,"B/op"
"org.example.TokenValidatorBenchmark.testMockito:gc.count","avgt",1,25,115.000000,NaN,"counts"
"org.example.TokenValidatorBenchmark.testMockito:gc.time","avgt",1,25,79.000000,NaN,"ms"
"org.example.TokenValidatorBenchmark.testRealTime","avgt",1,25,100.310770,0.058017,"ms/op"
"org.example.TokenValidatorBenchmark.testRealTime:gc.alloc.rate","avgt",1,25,0.008493,0.000125,"MB/sec"
"org.example.TokenValidatorBenchmark.testRealTime:gc.alloc.rate.norm","avgt",1,25,894.304000,13.147798,"B/op"
"org.example.TokenValidatorBenchmark.testRealTime:gc.count","avgt",1,25,0.000000,NaN,"counts"
